country,gdp_country
Aruba,3279343544
Africa Eastern and Southern,1191420000000
Afghanistan,14497243872
Africa Western and Central,883974000000
Angola,104400000000
Albania,19017242586
Andorra,3380612573
Arab World,3609810000000
United Arab Emirates,502732000000
Argentina,632790000000
Armenia,19513506553
American Samoa,871000000
Antigua and Barbuda,1867733333
Australia,1690860000000
Austria,471774000000
Azerbaijan,78807470588
Burundi,3338722828
Belgium,593439000000
Benin,17401746309
Burkina Faso,18820218691
Bangladesh,460132000000
Bulgaria,90642851836
Bahrain,46680398936
"Bahamas, The",13136400000
Bosnia and Herzegovina,24534663636
Belarus,73775179925
Belize,2846700000
Bermuda,7827980000
Bolivia,44008282878
Brazil,1951920000000
Barbados,6257303500
Brunei Darussalam,16681536443
Bhutan,2898227743
Botswana,20321958850
Central African Republic,2382618615
Canada,2161480000000
Central Europe and the Baltics,1955930000000
Switzerland,818427000000
Channel Islands,11308300346
Chile,302117000000
China,17881800000000
Cote d'Ivoire,70173140101
Cameroon,44347206073
"Congo, Dem. Rep.",65801547620
"Congo, Rep.",15817030155
Colombia,345330000000
Comoros,1242519408
Cabo Verde,2247003348
Costa Rica,69243626029
Caribbean small states,48740490013
Cuba,NA
Curacao,3075180835
Cayman Islands,6600843963
Cyprus,30976176887
Czechia,301831000000
Germany,4163600000000
Djibouti,3674298479
Dominica,607159259.3
Denmark,401946000000
Dominican Republic,113537000000
Algeria,225638000000
East Asia & Pacific (excluding high income),21124900000000
Early-demographic dividend,14147600000000
East Asia & Pacific,30673400000000
Europe & Central Asia (excluding high income),1817980000000
Europe & Central Asia,25662600000000
Ecuador,116586000000
"Egypt, Arab Rep.",476748000000
Euro area,14452000000000
Eritrea,NA
Spain,1446500000000
Estonia,38376046175
Ethiopia,126773000000
European Union,16995300000000
Fragile and conflict affected situations,1964840000000
Finland,280242000000
Fiji,4969503561
France,2796300000000
Faroe Islands,3566698398
"Micronesia, Fed. Sts.",430000000
Gabon,20440655695
United Kingdom,3114040000000
Georgia,24984568960
Ghana,74263364042
Gibraltar,NA
Guinea,19910452542
"Gambia, The",2204734528
Guinea-Bissau,1796608531
Equatorial Guinea,13687643436
Greece,218881000000
Grenada,1224577778
Greenland,NA
Guatemala,95630524813
Guam,6910000000
Guyana,14718387017
High income,64961300000000
"Hong Kong SAR, China",358681000000
Honduras,31426041807
Heavily indebted poor countries (HIPC),983602000000
Croatia,71198635102
Haiti,20253551921
Hungary,177006000000
IBRD only,37712000000000
IDA & IBRD total,40596800000000
IDA total,2885450000000
IDA blend,1208340000000
Indonesia,1319080000000
IDA only,1677110000000
Isle of Man,NA
India,3353470000000
Not classified,NA
Ireland,548570000000
"Iran, Islamic Rep.",394363000000
Iraq,286640000000
Iceland,28770206627
Israel,525000000000
Italy,2103000000000
Jamaica,17097760724
Jordan,48764963380
Japan,4256410000000
Kazakhstan,225496000000
Kenya,114449000000
Kyrgyz Republic,12134931018
Cambodia,39994532960
Kiribati,270841698.4
St. Kitts and Nevis,981429629.6
"Korea, Rep.",1673920000000
Kuwait,183940000000
Latin America & Caribbean (excluding high income),5393060000000
Lao PDR,15468785204
Lebanon,20992421949
Liberia,4001047000
Libya,43246297922
St. Lucia,2342703704
Latin America & Caribbean,6344870000000
Least developed countries: UN classification,1435850000000
Low income,547200000000
Liechtenstein,7361504432
Sri Lanka,74144870023
Lower middle income,7371400000000
Low & middle income,36465200000000
Lesotho,2354683089
Late-demographic dividend,28079400000000
Lithuania,71033884500
Luxembourg,81641807866
Latvia,38018905782
"Macao SAR, China",24999113476
St. Martin (French part),NA
Morocco,130952000000
Monaco,8800430486
Moldova,14510490660
Madagascar,15134700203
Maldives,6177118114
Middle East & North Africa,4475710000000
Mexico,1464310000000
Marshall Islands,253400000
Middle income,35917700000000
North Macedonia,13932436550
Mali,18780322204
Malta,19209979975
Myanmar,62253049892
Middle East & North Africa (excluding high income),1741920000000
Montenegro,6229801581
Mongolia,17146471714
Northern Mariana Islands,1096000000
Mozambique,18883528581
Mauritania,9557966698
Mauritius,12927979286
Malawi,12429060151
Malaysia,407606000000
North America,28176200000000
Namibia,12567271005
New Caledonia,9623318718
Niger,15433852712
Nigeria,477403000000
Nicaragua,15649897117
Netherlands,1046540000000
Norway,593727000000
Nepal,41182939601
Nauru,156803087.3
New Zealand,246734000000
OECD members,60691300000000
Oman,111944000000
Other small states,228426000000
Pakistan,374890000000
Panama,76276116700
Peru,246489000000
Philippines,404353000000
Palau,255591062.5
Papua New Guinea,31647277767
Poland,695607000000
Pre-demographic dividend,1647530000000
Puerto Rico,113567000000
"Korea, Dem. People's Rep.",NA
Portugal,256899000000
Paraguay,41952910858
West Bank and Gaza,19165500000
Pacific island small states,10339409999
Post-demographic dividend,57066800000000
French Polynesia,5814661209
Qatar,235709000000
Romania,296354000000
Russian Federation,2266030000000
Rwanda,13316160895
South Asia,4327390000000
Saudi Arabia,1108570000000
Sudan,51666875363
Senegal,27619479060
Singapore,498475000000
Solomon Islands,1566360686
Sierra Leone,7119137322
El Salvador,31988920000
San Marino,1831700577
Somalia,10202767270
Serbia,66797564758
Sub-Saharan Africa (excluding high income),2073340000000
South Sudan,NA
Sub-Saharan Africa,2075400000000
Small states,287506000000
Sao Tome and Principe,540809499.2
Suriname,3791603200
Slovak Republic,115929000000
Slovenia,59927702746
Sweden,579896000000
Eswatini,4695372785
Sint Maarten (Dutch part),1537088715
Seychelles,2057968520
Syrian Arab Republic,23622827080
Turks and Caicos Islands,1228794383
Chad,12396807588
East Asia & Pacific (IDA & IBRD countries),21098800000000
Europe & Central Asia (IDA & IBRD countries),5237810000000
Togo,8169476149
Thailand,495645000000
Tajikistan,10713525200
Turkmenistan,58972000000
Latin America & the Caribbean (IDA & IBRD countries),6049070000000
Timor-Leste,3208594000
Middle East & North Africa (IDA & IBRD countries),1722760000000
Tonga,518180042.2
South Asia (IDA & IBRD),4327390000000
Sub-Saharan Africa (IDA & IBRD countries),2075400000000
Trinidad and Tobago,30053446092
Tunisia,44579761023
Turkiye,907118000000
Tuvalu,59065982.09
Tanzania,75769974505
Uganda,45565333211
Ukraine,161990000000
Upper middle income,28547100000000
Uruguay,70164683290
United States,26006900000000
Uzbekistan,90095926567
St. Vincent and the Grenadines,966492592.6
"Venezuela, RB",NA
British Virgin Islands,NA
Virgin Islands (U.S.),4672000000
Viet Nam,410324000000
Vanuatu,1022219298
World,101771000000000
Samoa,832945205.6
Kosovo,9354903062
"Yemen, Rep.",NA
South Africa,406920000000
Zambia,29163782140
Zimbabwe,32789751736
